site_date_key,site_number,sample_date,sample_trip,water_depth,temperature,salinity,lat,lon,notes,extra bags,drop_processing.sample_key,drop_processing.date,drop_processing.bag_photo,drop_processing.sample_type,drop_processing.sample_trip,drop_processing.site_label,drop_processing.bag_number,drop_processing.site_date_key,drop_processing.species_key,drop_processing.bag_code,drop_processing.species_code,drop_processing.count,drop_processing.tin_key,drop_processing.tin_preweight,drop_processing.length,drop_processing.gut_contents,drop_processing.comments,grinding_inventory.tissue_type,grinding_inventory.date,grinding_inventory.vial_code,grinding_inventory.box_code,grinding_inventory.box_position,grinding_inventory.notes,grinding_inventory.decarbonated,grinding_inventory.duplicate,grinding_inventory.initials,tin_weights.tin_weight,composite_vials.composite_vial,composite_vials.box_position,composite_vials.box_code,composite_vials.donor_vial_code,final_vial,wrapping_inventory.vial_code,wrapping_inventory.date,wrapping_inventory.box_code,wrapping_inventory.box_position,wrapping_inventory.tray_code,wrapping_inventory.weight,wrapping_inventory.tray_position,wrapping_inventory.notes,wrapping_inventory.initials,tray_inventory.Analysis Type,tray_inventory.Status,tray_inventory.Notes,isotope_data.Content.Name,isotope_data.wsu_projid,isotope_data.wsu_id,isotope_data.tray_code,isotope_data.nelson_id,isotope_data.analysis,isotope_data.d15N,isotope_data.ucn,isotope_data.wtn,isotope_data.ucn_perc,isotope_data.d13C,isotope_data.ucc,isotope_data.wtc,isotope_data.ucc_perc,isotope_data.amount,isotope_data.analyst_comments,isotope_data.area_all_n,isotope_data.area_all_c,isotope_data.mgN,isotope_data.ucn_mg,isotope_data.mgC,isotope_data.ucc_mg,isotope_data.cn_ratio,isotope_data.cn_ratio_estimate,isotope_data.d34S,isotope_data.ucs,isotope_data.wts,isotope_data.ucs_perc,isotope_data.area_all_s,isotope_data.mgS,isotope_data.ucs_mg,isotope_data.Uc S_Percents_balance,isotope_data.Uc N_Percents_balance,isotope_data.Uc C_Percents_balance
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,579b5299,3/22/23 01:00,Fourchon Mangrove Project/Sample Photos/579b5299.bag_photo.211751.jpg,DS,2209,60,73,4055fb57,6333b032,2209-DS-60-x,CALSAP,2,164204d24,1.01,NA,NA,,Animal,5/14/24 00:00,044a2bda9,0c01f46a8_PFFW-FA22,A3,,FALSE,,,1.21,,,,,044a2bda9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d86dc835,31,6/7/23 09:02,2305,45,29.8,21.6,29.12869,-90.229702,,"",6A002682,7/16/24 16:31,,DS,2305,31,,d86dc835,d2dad773,,FUNXEN,1,14cecaa84,1.037,,,,Animal,7/23/24 00:00,b4701b80,19121684b_PFFW-SP23,B3,,FALSE,FALSE,L_,1.103,,,,,b4701b80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",98d839f2,1/5/23 00:00,,DS,2209,51,186,68bb7209,39396706,2209-DS-51,MENBER,2,186MENBER,1,NA,NA,,Animal,5/14/24 00:00,24f69c492,0768fd2ba_PFFW-FA22,H6,MENBER09-22-DS-186,FALSE,,,1.32,,,,,24f69c492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d23bc66,95,9/11/23 07:17,2308,18,31.6,28.6,29.127239,-90.163634,,"",1A34818F,7/16/24 15:04,,DS,2308,95,,7d23bc66,1d3cc7d1,,CTEBOL,1,228eace7c,1.019,,,,Animal,7/23/24 00:00,f75fbde9,19121684b_PFFW-SP23,B5,,FALSE,FALSE,L_,1.054,,,,,f75fbde9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,ac69370c,3/13/23 01:00,Fourchon Mangrove Project/Sample Photos/ac69370c.bag_photo.212812.jpg,DS,2209,60,83,4055fb57,569400cb,2209-DS-60-x,PENSETS,1,13a3e80b8,1.03,NA,NA,,Animal,5/14/24 00:00,020995bab,0c01f46a8_PFFW-FA22,A4,,FALSE,,,1.04,,,,,020995bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d23bc66,95,9/11/23 07:17,2308,18,31.6,28.6,29.127239,-90.163634,,"",DFAA4338,7/16/24 13:09,,DS,2308,95,,7d23bc66,83C94E95,,MINLON ,5,0328b9aa9,1.003,,,,Animal,7/23/24 00:00,cf84d080,19121684b_PFFW-SP23,A4,,FALSE,FALSE,JCM,2.761,,,,,cf84d080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d23bc66,95,9/11/23 07:17,2308,18,31.6,28.6,29.127239,-90.163634,,"",DFAA4338,7/16/24 13:09,,DS,2308,95,,7d23bc66,83C94E95,,MINLON ,5,0328b9aa9,1.003,,,,Animal,7/23/24 00:00,b31a758f,231bb0bd6_PFFW-SP23,A3,,FALSE,TRUE,JCM,2.761,,,,,b31a758f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",4b9fd1ed,1/5/23 00:00,,DS,2209,51,186,68bb7209,24af46db,2209-DS-51,ALPHET,1,186ALPHET,1.02,NA,NA,,Animal,5/14/24 00:00,18ce33c8e,0768fd2ba_PFFW-FA22,H3,ALPHET09-22-DS-186,FALSE,,,1.04,,,,,18ce33c8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d23bc66,95,9/11/23 07:17,2308,18,31.6,28.6,29.127239,-90.163634,,"",3564A464,7/16/24 14:16,,DS,2308,95,,7d23bc66,02b3298a,,LITIRR,6,05a32f792,1.01,,,,Animal,7/23/24 00:00,cd2a1002,19121684b_PFFW-SP23,A10,,FALSE,FALSE,L_,1.067,,,,,cd2a1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d86dc835,31,6/7/23 09:02,2305,45,29.8,21.6,29.12869,-90.229702,,"",941B18C2,7/16/24 16:48,,DS,2305,31,,d86dc835,02b3298a,,LITIRR,6,203381e83,1.041,,,,Animal,7/23/24 00:00,d383b77a,19121684b_PFFW-SP23,A2,,FALSE,FALSE,JCM,1.223,,,,,d383b77a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",2b8c76b7,1/20/23 00:00,Fourchon Mangrove Project/Sample Photos/2b8c76b7.bag_photo.180609.jpg,DS,2209,51,186,68bb7209,569400cb,2209-DS-51,PENSETS,22,063b039b8,1.04,NA,NA,,"Animal",7/24/24 00:00,1b5cae22c,183dd88b8_PFFW-FA22,B9,,,FALSE,,2.53,,,,,1b5cae22c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",2b8c76b7,1/20/23 00:00,Fourchon Mangrove Project/Sample Photos/2b8c76b7.bag_photo.180609.jpg,DS,2209,51,186,68bb7209,569400cb,2209-DS-51,PENSETS,22,063b039b8,1.04,NA,NA,,"Animal",5/31/24 00:00,2002de10d,00dccd6f3_PFFW-FA22,D4,,,TRUE,,2.53,,,,,2002de10d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",6ECDB917,7/17/24 15:48,,DS,2305,107,,bed472cd,2f739268,,EVOLYR,1,160c89911,1.022,,,,Animal,7/23/24 00:00,ba97c80a,19121684b_PFFW-SP23,A8,,FALSE,FALSE,JCM,1.383,,,,,ba97c80a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",AB71275E,7/17/24 15:48,,DS,2305,107,,bed472cd,02b3298a,,LITIRR,1,118a0e309,1.021,,,,Animal,7/23/24 00:00,d39fdedd,19121684b_PFFW-SP23,B4,,FALSE,FALSE,L_,1.083,,,,,d39fdedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,1029eb74,3/22/23 01:00,Fourchon Mangrove Project/Sample Photos/1029eb74.bag_photo.211502.jpg,DS,2209,60,73,4055fb57,569400cb,2209-DS-60-x,PENSETS,17,141627a2c,1.01,NA,NA,,Animal,5/14/24 00:00,0574b6b77,0c01f46a8_PFFW-FA22,A6,,FALSE,,,2.83,,,,,0574b6b77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,1029eb74,3/22/23 01:00,Fourchon Mangrove Project/Sample Photos/1029eb74.bag_photo.211502.jpg,DS,2209,60,73,4055fb57,569400cb,2209-DS-60-x,PENSETS,17,141627a2c,1.01,NA,NA,,Animal,5/14/24 00:00,0c13d9c14,0c01f46a8_PFFW-FA22,A7,,FALSE,TRUE,,2.83,,,,,0c13d9c14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",D27D8CB7,7/17/24 15:47,,DS,2305,107,,bed472cd,c2d636b2,,FUNGRA,1,0328a4aea,1.025,,,,Animal,7/23/24 00:00,e0b5c11e,19121684b_PFFW-SP23,A9,,FALSE,FALSE,L_,1.105,,,,,e0b5c11e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",62C433A2,7/17/24 16:12,,DS,2305,107,,bed472cd,6333b032,,CALSAP,2,1d23f8b86,1.043,,,,Animal,5/21/25 17:11,c91970c4,d15a2b41_PFFW-SP23,C3,,FALSE,FALSE,HL,2.524,,,,,c91970c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",b3d3edf2,1/20/23 00:00,Fourchon Mangrove Project/Sample Photos/b3d3edf2.bag_photo.183043.jpg,DS,2209,51,186,68bb7209,65ca2194,2209-DS-51,SYMPLA,1,186SYMPLA,1.02,NA,NA,,Animal,5/14/24 00:00,0eda97d34,0768fd2ba_PFFW-FA22,H2,SYMPLA09-22-DS-186,FALSE,,,1.07,,,,,0eda97d34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",A443D518,7/17/24 16:13,,DS,2305,107,,bed472cd,6333b032,,CALSAP,1,0d98a6cac,1.009,,,,Animal,5/21/25 17:12,f71a1ece,d15a2b41_PFFW-SP23,C4,,FALSE,FALSE,HL,6.836,,,,,f71a1ece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",A443D518,7/17/24 16:13,,DS,2305,107,,bed472cd,6333b032,,CALSAP,1,0d98a6cac,1.009,,,,Animal,7/23/24 00:00,c305706f,231bb0bd6_PFFW-SP23,A1,,,TRUE,JCM,6.836,,,,,c305706f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",A443D518,7/17/24 16:13,,DS,2305,107,,bed472cd,6333b032,,CALSAP,1,0d98a6cac,1.009,,,,Animal,7/23/24 00:00,ff8efdef,231bb0bd6_PFFW-SP23,A2,,FALSE,TRUE,JCM,6.836,,,,,ff8efdef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",6b05b882,1/20/23 00:00,Fourchon Mangrove Project/Sample Photos/6b05b882.bag_photo.184952.jpg,DS,2209,51,186,68bb7209,39b6ca44,2209-DS-51,GOBBOS,3,186GOBBOS,1.03,NA,NA,,Animal,5/14/24 00:00,2104e7cac,0768fd2ba_PFFW-FA22,H7,GOBBOS09-22-DS-186,FALSE,,,1.09,,,,,2104e7cac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",9BA1E4A1,7/17/24 16:15,,DS,2305,107,,bed472cd,569400cb,,PENSETS,1,0a06a3671,1.016,,,,Animal,5/23/25 11:43,b72cd16c,c4fa0713_PFFW-SP23,A3,,FALSE,FALSE,HL,1.073,,,,,b72cd16c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,df7dc9bf,3/22/23 01:00,Fourchon Mangrove Project/Sample Photos/df7dc9bf.bag_photo.211606.jpg,DS,2209,60,73,4055fb57,ae154d0e,2209-DS-60-x,PENSETL,1,0f190e0c7,1.01,NA,02a950d29,,Animal,5/14/24 00:00,181f7e1bc,0c01f46a8_PFFW-FA22,A8,,FALSE,,,3.08,,,,,181f7e1bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,df7dc9bf,3/22/23 01:00,Fourchon Mangrove Project/Sample Photos/df7dc9bf.bag_photo.211606.jpg,DS,2209,60,73,4055fb57,ae154d0e,2209-DS-60-x,PENSETL,1,0f190e0c7,1.01,NA,02a950d29,,Animal,5/14/24 00:00,17f1a4de4,0c01f46a8_PFFW-FA22,A9,,FALSE,TRUE,,3.08,,,,,17f1a4de4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b129e65,119,6/6/23 12:30,2305,34,30.4,22.2,29.136437,-90.158422,,"""5B95897E",4B5AAB35,7/17/24 16:46,,DS,2305,119,,6b129e65,7366c6db,,PANOBE,1,022f2e0cb,1.046,,,,Animal,7/23/24 00:00,b216d1fa,19121684b_PFFW-SP23,C4,,FALSE,FALSE,L_,4.032,,,,,b216d1fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b129e65,119,6/6/23 12:30,2305,34,30.4,22.2,29.136437,-90.158422,,"""5B95897E",4B5AAB35,7/17/24 16:46,,DS,2305,119,,6b129e65,7366c6db,,PANOBE,1,022f2e0cb,1.046,,,,Animal,7/23/24 00:00,c378fb14,231bb0bd6_PFF-SP23,A6,,FALSE,TRUE,L_,4.032,,,,,c378fb14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",C3DCB3AB,7/17/24 16:16,,DS,2305,107,,bed472cd,83C94E95,,MINLON ,5,1b457c341,1.018,,,,Animal,5/23/25 17:45,d09568d5,f2ab7b75_PFFW-SP23,D1,,FALSE,FALSE,,3.114,,,,,d09568d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bed472cd,107,5/23/23 09:53,2305,24,31.1,25.3,29.139386,-90.240494,,"",C3DCB3AB,7/17/24 16:16,,DS,2305,107,,bed472cd,83C94E95,,MINLON ,5,1b457c341,1.018,,,,Animal,7/23/24 00:00,ab1e7cfb,231bb0bd6_PFFW-SP23,A7,,FALSE,TRUE,L_,3.114,,,,,ab1e7cfb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",9cda0d59,1/23/23 00:00,Fourchon Mangrove Project/Sample Photos/9cda0d59.bag_photo.182813.jpg,DS,2209,51,186,68bb7209,6333b032,2209-DS-51,CALSAP,1,186CALSAP,1.02,NA,NA,,Animal,5/14/24 00:00,01710aada,0768fd2ba_PFFW-FA22,H1,CALSAP09-22-DS-186,FALSE,,,1.03,,,,,01710aada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b129e65,119,6/6/23 12:30,2305,34,30.4,22.2,29.136437,-90.158422,,"""5B95897E",25C097C8,7/17/24 16:47,,DS,2305,119,,6b129e65,83C94E95,,MINLON ,1,0cb69bdf4,1.058,,,,Animal,7/23/24 00:00,f2435f93,19121684b_PFFW-SP23,c3,,FALSE,FALSE,L_,1.273,,,,,f2435f93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",06fbd119,2/13/23 00:00,Fourchon Mangrove Project/Sample Photos/06fbd119.bag_photo.222649.jpg,DS,2209,51,55,68bb7209,99cf6631,2209-DS-51,PANSIM,1,1f0fe8e45,1.03,NA,NA,Had eggs,"Animal",5/31/24 00:00,09ce1c062,15a7e3338_PFFW-FA22,I8,,,FALSE,,1.45,,,,,09ce1c062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,ade60c90,3/22/23 01:00,Fourchon Mangrove Project/Sample Photos/ade60c90.bag_photo.211846.jpg,DS,2209,60,73,4055fb57,03007a24,2209-DS-60-x,PALSP,5,01e8222eb,1.01,NA,NA,,Animal,1/9/25 00:00,10fa05081,0a6866b2d_PFFW-FA22,C3,,FALSE,FALSE,,1.21,b5311dc0,A7,04cd8cc81_PFFW-FA22,10fa05081,b5311dc0,b5311dc0,2/3/25 00:00,04cd8cc81_PFFW-FA22,,b19292a6_2025-T4,3.5,A7,,LW,S,Data recieved,PFFW Consumers FA22,4181,4181,366920,b19292a6_2025-T4,b5311dc0,K-214266.2,,,,,,,,,3.5, ,,,,,,,,,9.930304787,0.856689853,0.888620145,0.012710431,26.981,0.031101705,0.002702724,0.077220684,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,6dbcca45,3/13/23 01:00,Fourchon Mangrove Project/Sample Photos/6dbcca45.bag_photo.212725.jpg,DS,2209,60,83,4055fb57,03007a24,2209-DS-60-x,PALSP,1,088c8491f,1.04,NA,NA,,"Animal",1/9/25 00:00,01a008007,0a6866b2d_PFFW-FA22,C2,,FALSE,FALSE,,1.07,b5311dc0,A7,04cd8cc81_PFFW-FA22,01a008007,b5311dc0,b5311dc0,2/3/25 00:00,04cd8cc81_PFFW-FA22,,b19292a6_2025-T4,3.5,A7,,LW,S,Data recieved,PFFW Consumers FA22,4181,4181,366920,b19292a6_2025-T4,b5311dc0,K-214266.2,,,,,,,,,3.5, ,,,,,,,,,9.930304787,0.856689853,0.888620145,0.012710431,26.981,0.031101705,0.002702724,0.077220684,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,ade60c90,3/22/23 01:00,Fourchon Mangrove Project/Sample Photos/ade60c90.bag_photo.211846.jpg,DS,2209,60,73,4055fb57,03007a24,2209-DS-60-x,PALSP,5,01e8222eb,1.01,NA,NA,,Animal,1/9/25 00:00,10fa05081,0a6866b2d_PFFW-FA22,C3,,FALSE,FALSE,,1.21,b5311dc0,A7,04cd8cc81_PFFW-FA22,10fa05081,b5311dc0,b5311dc0,1/24/25 00:00,04cd8cc81_PFFW-FA22,,d5e5be06_2025-T4,0.9,A7,The vial was in PFFW FA22 Box 12 position A7,DD,C/N,Shipped,PFFW FA22 Consumers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,6dbcca45,3/13/23 01:00,Fourchon Mangrove Project/Sample Photos/6dbcca45.bag_photo.212725.jpg,DS,2209,60,83,4055fb57,03007a24,2209-DS-60-x,PALSP,1,088c8491f,1.04,NA,NA,,"Animal",1/9/25 00:00,01a008007,0a6866b2d_PFFW-FA22,C2,,FALSE,FALSE,,1.07,b5311dc0,A7,04cd8cc81_PFFW-FA22,01a008007,b5311dc0,b5311dc0,1/24/25 00:00,04cd8cc81_PFFW-FA22,,d5e5be06_2025-T4,0.9,A7,The vial was in PFFW FA22 Box 12 position A7,DD,C/N,Shipped,PFFW FA22 Consumers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
